TBI	12,15	bn:01022004n	http://babelnet.org/rdf/s01022004n	http://dbpedia.org/resource/Trolleybuses_in_Leeds
injured	26,33	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
party	46,51	bn:00060834n	http://babelnet.org/rdf/s00060834n	http://dbpedia.org/resource/Political_party
shooting	52,60	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
TBI	63,66	bn:01022004n	http://babelnet.org/rdf/s01022004n	http://dbpedia.org/resource/Trolleybuses_in_Leeds
injured	77,84	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
party	97,102	bn:00060834n	http://babelnet.org/rdf/s00060834n	http://dbpedia.org/resource/Political_party
shooting	103,111	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
Tenn	124,128	bn:00076518n	http://babelnet.org/rdf/s00076518n	http://dbpedia.org/resource/Tennessee
Tennessee Bureau of Investigation	137,170	bn:02365447n	http://babelnet.org/rdf/s02365447n	http://dbpedia.org/resource/Tennessee_Bureau_of_Investigation
working	174,181	bn:00095812v	http://babelnet.org/rdf/s00095812v	null
determine	185,194	bn:00082811v	http://babelnet.org/rdf/s00082811v	null
lead	209,213	bn:00085567v	http://babelnet.org/rdf/s00085567v	null
multiple	217,225	bn:00107028a	http://babelnet.org/rdf/s00107028a	null
people	226,232	bn:00061450n	http://babelnet.org/rdf/s00061450n	http://dbpedia.org/resource/People
shot	239,243	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
party	249,254	bn:00060834n	http://babelnet.org/rdf/s00060834n	http://dbpedia.org/resource/Political_party
According	270,279	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
statement	285,294	bn:00074033n	http://babelnet.org/rdf/s00074033n	null
TBI	304,307	bn:01022004n	http://babelnet.org/rdf/s01022004n	http://dbpedia.org/resource/Trolleybuses_in_Leeds
shooting	314,322	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
happened	323,331	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
county	346,352	bn:00023252n	http://babelnet.org/rdf/s00023252n	http://dbpedia.org/resource/County_(United_States)
fairgrounds	353,364	bn:01597184n	http://babelnet.org/rdf/s01597184n	http://dbpedia.org/resource/Lane_County_Fair
Clifton	368,375	bn:16902921n	http://babelnet.org/rdf/s16902921n	http://dbpedia.org/resource/Clifton_(Lexington,_Virginia)
Drive	376,381	bn:00028777n	http://babelnet.org/rdf/s00028777n	null
early	393,398	bn:00101935a	http://babelnet.org/rdf/s00101935a	null
hours	407,412	bn:00000127n	http://babelnet.org/rdf/s00000127n	http://dbpedia.org/resource/Hour
Sunday	413,419	bn:00028190n	http://babelnet.org/rdf/s00028190n	http://dbpedia.org/resource/Lord's_Day
initial	429,436	bn:00105119a	http://babelnet.org/rdf/s00105119a	null
information	437,448	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
indicates	449,458	bn:00083436v	http://babelnet.org/rdf/s00083436v	null
Police officers	468,483	bn:00058698n	http://babelnet.org/rdf/s00058698n	http://dbpedia.org/resource/Police_officer
responded	484,493	bn:00082646v	http://babelnet.org/rdf/s00082646v	null
call reporting	503,517	bn:03495189n	http://babelnet.org/rdf/s03495189n	http://dbpedia.org/resource/Call_report
shooting	525,533	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
occurred	538,546	bn:00085337v	http://babelnet.org/rdf/s00085337v	null
party	552,557	bn:00060834n	http://babelnet.org/rdf/s00060834n	http://dbpedia.org/resource/Political_party
held	564,568	bn:00089384v	http://babelnet.org/rdf/s00089384v	null
location	577,585	bn:00062699n	http://babelnet.org/rdf/s00062699n	http://dbpedia.org/resource/Location_(geography)
Niland	596,602	bn:00193429n	http://babelnet.org/rdf/s00193429n	http://dbpedia.org/resource/Niland,_California
TBI	612,615	bn:01022004n	http://babelnet.org/rdf/s01022004n	http://dbpedia.org/resource/Trolleybuses_in_Leeds
wrote	616,621	bn:00085489v	http://babelnet.org/rdf/s00085489v	null
email	628,633	bn:00029345n	http://babelnet.org/rdf/s00029345n	http://dbpedia.org/resource/Email
WBBJ	637,641	bn:00750041n	http://babelnet.org/rdf/s00750041n	http://dbpedia.org/resource/WBBJ-TV
Eyewitness News	644,659	bn:00870826n	http://babelnet.org/rdf/s00870826n	http://dbpedia.org/resource/Eyewitness_News
victims	667,674	bn:00079940n	http://babelnet.org/rdf/s00079940n	null
injured	675,682	bn:00089751v	http://babelnet.org/rdf/s00089751v	null
shooting	694,702	bn:00089349v	http://babelnet.org/rdf/s00089349v	null
taken for	708,717	bn:00086435v	http://babelnet.org/rdf/s00086435v	null
treatment	718,727	bn:00047235n	http://babelnet.org/rdf/s00047235n	null
County	742,748	bn:00023252n	http://babelnet.org/rdf/s00023252n	http://dbpedia.org/resource/County_(United_States)
Medical Center	749,763	bn:00054109n	http://babelnet.org/rdf/s00054109n	null
sent	784,788	bn:00086868v	http://babelnet.org/rdf/s00086868v	null
Regional	792,800	bn:00066884n	http://babelnet.org/rdf/s00066884n	http://dbpedia.org/resource/Region
Medical Center	801,815	bn:00054109n	http://babelnet.org/rdf/s00054109n	null
Memphis	819,826	bn:03261736n	http://babelnet.org/rdf/s03261736n	http://dbpedia.org/resource/Memphis,_Tennessee
according	829,838	bn:00082227v	http://babelnet.org/rdf/s00082227v	null
Niland	842,848	bn:00193429n	http://babelnet.org/rdf/s00193429n	http://dbpedia.org/resource/Niland,_California
Agents	852,858	bn:00001976n	http://babelnet.org/rdf/s00001976n	null
say	859,862	bn:00093287v	http://babelnet.org/rdf/s00093287v	null
investigation	867,880	bn:00047354n	http://babelnet.org/rdf/s00047354n	null
active	890,896	bn:00096382a	http://babelnet.org/rdf/s00096382a	null
asking	910,916	bn:00082817v	http://babelnet.org/rdf/s00082817v	null
information	929,940	bn:00046705n	http://babelnet.org/rdf/s00046705n	http://dbpedia.org/resource/Information
